Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,1uf,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Speaker Connector,
J4,PinHeader_1x02_P1.00mm_Horizontal,1,Charging Notches,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery Connector,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,IRLML6244,
"R1, R11, R20, R21, R22, R3, R5, R7, R9",0603,9,1,
"R10, R12, R19, R2, R4, R6, R8",0603,7,100,
"R13, R14, R15, R16, R17, R18",0603,6,100k,
"U1, U2",LED-SMD_XL-HD6070RGBC-A46L,2,XL-HD6070RGBC-A46L,C5349977
U10,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,DW01_C700964,C700964
U3,MIC-SMD_3P-L2.8-W1.9_ZTS6056,1,ZTS6156,C481301
U4,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S2-SOLO-2-N4,C3040594
U5,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,PAM8303DBSC,C56211
U6,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056_C725790,C725790
U7,SW-TH_G-SWITCH_SK-22F02-G060,1,SK-22F02-G060,C2848869
U8,LED0603-RD_BLUE,1,XL-1608UBC-04,C965807
U9,LED0603-RD_GREEN,1,XL-1608SYGC-06,C965805
VR1,SOT-89-3,1,MCP1700x-330xxMB,
